blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
111A,PLANTATION CRES,14,2023,Y,TG,0,0,57,52,TENGAH,111A PLANTATION CRES,1.35580115419711,103.733988555086
111B,PLANTATION CRES,14,2023,Y,TG,129,26,26,0,TENGAH,111B PLANTATION CRES,1.35545640495643,103.734110102652
111C,PLANTATION CRES,14,2023,Y,TG,0,0,21,60,TENGAH,111C PLANTATION CRES,1.35537386202248,103.733448176041
112A,PLANTATION CRES,14,2023,Y,TG,91,26,26,0,TENGAH,112A PLANTATION CRES,1.35432940422664,103.735168981842
112B,PLANTATION CRES,14,2023,Y,TG,130,26,26,0,TENGAH,112B PLANTATION CRES,1.35486163684029,103.734628425622
113A,PLANTATION CRES,14,2023,Y,TG,89,26,25,0,TENGAH,113A PLANTATION CRES,1.35367162010991,103.735194129994
113B,PLANTATION CRES,14,2023,Y,TG,104,0,26,0,TENGAH,113B PLANTATION CRES,1.35404207309469,103.734829170975
114A,PLANTATION CRES,14,2023,Y,TG,0,0,40,74,TENGAH,114A PLANTATION CRES,1.35447254345357,103.734156856636
114B,PLANTATION CRES,14,2023,Y,TG,0,0,40,73,TENGAH,114B PLANTATION CRES,1.35480531839356,103.733839199767
125A,TENGAH DR,14,2023,Y,TG,91,19,36,22,TENGAH,125A TENGAH DR,1.35964463384133,103.735061989711
125B,TENGAH DR,14,2023,Y,TG,89,18,35,22,TENGAH,125B TENGAH DR,1.3595525975329,103.735542739364
126A,TENGAH DR,14,2023,Y,TG,0,10,13,34,TENGAH,126A TENGAH DR,1.35928627794195,103.735991844033
126B,TENGAH DR,12,2023,Y,TG,18,18,39,12,TENGAH,126B TENGAH DR,1.35895878155421,103.735644938947
127A,PLANTATION CRES,11,2023,Y,TG,0,21,12,0,TENGAH,127A PLANTATION CRES,1.35785039043678,103.734322701225
127B,PLANTATION CRES,14,2023,Y,TG,0,0,21,51,TENGAH,127B PLANTATION CRES,1.35839550236685,103.734529515165
128A,PLANTATION CRES,15,2023,Y,TG,74,0,26,25,TENGAH,128A PLANTATION CRES,1.35793237600526,103.73387780517
128B,PLANTATION CRES,15,2023,Y,TG,72,0,24,24,TENGAH,128B PLANTATION CRES,1.35819333270429,103.733604557564
129A,PLANTATION CRES,14,2023,Y,TG,0,0,22,26,TENGAH,129A PLANTATION CRES,1.35872992619208,103.73408395107
129B,PLANTATION CRES,14,2023,Y,TG,42,13,47,12,TENGAH,129B PLANTATION CRES,1.35905831090279,103.733758609864
129C,PLANTATION CRES,15,2023,Y,TG,0,0,53,61,TENGAH,129C PLANTATION CRES,1.35848094402793,103.733291017522
131A,TENGAH GDN AVE,14,2023,Y,TG,0,0,24,46,TENGAH,131A TENGAH GDN AVE,1.35660556427652,103.73336557992
131B,TENGAH GDN AVE,15,2023,Y,TG,46,26,39,0,TENGAH,131B TENGAH GDN AVE,1.35634619889737,103.732858493426
131C,TENGAH GDN AVE,15,2023,Y,TG,46,26,39,0,TENGAH,131C TENGAH GDN AVE,1.35598369255245,103.732498503909
131D,TENGAH GDN AVE,15,2023,Y,TG,0,39,48,0,TENGAH,131D TENGAH GDN AVE,1.35555358374354,103.732162522277
132A,TENGAH GDN AVE,14,2023,Y,TG,84,0,48,0,TENGAH,132A TENGAH GDN AVE,1.35696298275882,103.732500565484
132B,TENGAH GDN AVE,14,2023,Y,TG,0,0,36,81,TENGAH,132B TENGAH GDN AVE,1.35749918060892,103.732352436122
132C,TENGAH GDN AVE,14,2023,Y,TG,84,0,48,0,TENGAH,132C TENGAH GDN AVE,1.35649829614299,103.732107963046
133A,TENGAH GDN AVE,15,2023,Y,TG,0,0,36,85,TENGAH,133A TENGAH GDN AVE,1.35690571720719,103.7317615567
133B,TENGAH GDN AVE,15,2023,Y,TG,0,0,36,85,TENGAH,133B TENGAH GDN AVE,1.35633719746027,103.731265348243
133C,TENGAH GDN AVE,15,2023,Y,TG,86,0,52,0,TENGAH,133C TENGAH GDN AVE,1.35582105836173,103.731487224869
161B,JLN TECK WHYE,31,2023,Y,CCK,0,0,119,0,CHOA CHU KANG,161B JLN TECK WHYE,1.37983908650066,103.758553846182
161C,JLN TECK WHYE,31,2023,Y,CCK,126,42,119,0,CHOA CHU KANG,161C JLN TECK WHYE,1.38049970002909,103.758352607594
170A,SENGKANG EAST DR,17,2023,Y,SK,0,0,55,141,SENGKANG,170A SENGKANG EAST DR,1.3864108050086,103.908822177398
