blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
170B,SENGKANG EAST DR,17,2023,Y,SK,28,22,73,0,SENGKANG,170B SENGKANG EAST DR,1.38671838587829,103.909029340508
171A,SENGKANG EAST DR,18,2023,Y,SK,0,0,53,81,SENGKANG,171A SENGKANG EAST DR,1.38661247886524,103.909855053971
171B,SENGKANG EAST DR,18,2023,Y,SK,0,0,62,62,SENGKANG,171B SENGKANG EAST DR,1.38649460668322,103.910281085225
172A,SENGKANG EAST DR,18,2023,Y,SK,174,32,0,0,SENGKANG,172A SENGKANG EAST DR,1.38706757312473,103.910117432186
172B,SENGKANG EAST DR,18,2023,Y,SK,128,0,32,32,SENGKANG,172B SENGKANG EAST DR,1.38714243993422,103.910406140367
172C,SENGKANG EAST DR,18,2023,Y,SK,142,32,0,0,SENGKANG,172C SENGKANG EAST DR,1.3875348639202,103.910675506622
172D,SENGKANG EAST DR,18,2023,Y,SK,64,0,62,0,SENGKANG,172D SENGKANG EAST DR,1.38753456826625,103.910908830315
173A,SENGKANG EAST DR,18,2023,Y,SK,64,0,62,0,SENGKANG,173A SENGKANG EAST DR,1.38744424893044,103.91139421451
173B,SENGKANG EAST DR,18,2023,Y,SK,142,32,0,0,SENGKANG,173B SENGKANG EAST DR,1.3873287521802,103.911836970001
173C,SENGKANG EAST DR,18,2023,Y,SK,128,0,32,32,SENGKANG,173C SENGKANG EAST DR,1.3868861800729,103.911597949015
173D,SENGKANG EAST DR,18,2023,Y,SK,174,32,0,0,SENGKANG,173D SENGKANG EAST DR,1.38677287003767,103.912362148229
174A,SENGKANG EAST DR,18,2023,Y,SK,30,24,79,0,SENGKANG,174A SENGKANG EAST DR,1.38612351928445,103.913010715848
174B,SENGKANG EAST DR,18,2023,Y,SK,0,0,53,83,SENGKANG,174B SENGKANG EAST DR,1.38609330739848,103.912321260864
175A,SENGKANG EAST DR,18,2023,Y,SK,0,0,62,62,SENGKANG,175A SENGKANG EAST DR,1.38621582194385,103.911589850803
175B,SENGKANG EAST DR,18,2023,Y,SK,0,0,53,81,SENGKANG,175B SENGKANG EAST DR,1.3863336674455,103.911166400228
187A,MARSILING RD,30,2023,Y,WL,0,0,116,104,WOODLANDS,187A MARSILING RD,1.43673016661409,103.774955943592
188A,MARSILING RD,30,2023,Y,WL,145,29,101,0,WOODLANDS,188A MARSILING RD,1.43822243450095,103.774055957372
188B,MARSILING RD,30,2023,Y,WL,174,29,77,0,WOODLANDS,188B MARSILING RD,1.43770629630592,103.774185236235
189A,MARSILING RD,30,2023,Y,WL,174,29,77,0,WOODLANDS,189A MARSILING RD,1.43730105428481,103.774042241997
189B,MARSILING RD,30,2023,Y,WL,0,0,50,141,WOODLANDS,189B MARSILING RD,1.43677160492371,103.774052432305
20A,LOR 3 GEYLANG,23,2023,Y,KWN,0,44,151,0,KALLANG/WHAMPOA,20A LOR 3 GEYLANG,1.31413253601651,103.874217315517
20B,LOR 3 GEYLANG,23,2023,Y,KWN,0,44,172,0,KALLANG/WHAMPOA,20B LOR 3 GEYLANG,1.31463397675932,103.87389201137
209B,CLEMENTI AVE 6,40,2023,Y,CL,0,0,76,76,CLEMENTI,209B CLEMENTI AVE 6,1.32307183298737,103.763858722838
210B,CLEMENTI AVE 6,33,2023,Y,CL,0,50,168,62,CLEMENTI,210B CLEMENTI AVE 6,1.32290892512593,103.763155616264
210C,CLEMENTI AVE 6,21,2023,Y,CL,0,0,38,115,CLEMENTI,210C CLEMENTI AVE 6,1.32343984698177,103.76326051224
211A,CLEMENTI AVE 6,20,2023,Y,CL,0,98,40,49,CLEMENTI,211A CLEMENTI AVE 6,1.32355604532383,103.762101342527
212A,BIDADARI PK DR,16,2023,Y,TP,0,24,50,26,TOA PAYOH,212A BIDADARI PK DR,1.3420263495306,103.874852342195
212B,BIDADARI PK DR,16,2023,Y,TP,0,0,74,52,TOA PAYOH,212B BIDADARI PK DR,1.34194717853298,103.874437893303
212C,BIDADARI PK DR,16,2023,Y,TP,0,0,72,48,TOA PAYOH,212C BIDADARI PK DR,1.3419361889877,103.873768344089
212D,BIDADARI PK DR,16,2023,Y,TP,0,0,35,48,TOA PAYOH,212D BIDADARI PK DR,1.34229829406951,103.873200686643
215B,BIDADARI PK DR,16,2023,Y,TP,0,39,67,26,TOA PAYOH,215B BIDADARI PK DR,1.34281428704562,103.876282729975
215C,BIDADARI PK DR,16,2023,Y,TP,0,24,72,22,TOA PAYOH,215C BIDADARI PK DR,1.34265457543169,103.875800606989
237A,BOON LAY DR,15,2023,Y,JW,0,0,26,54,JURONG WEST,237A BOON LAY DR,1.34140085646659,103.709564453255
237B,BOON LAY DR,17,2023,Y,JW,78,32,48,0,JURONG WEST,237B BOON LAY DR,1.34181573370153,103.709524207794
238A,BOON LAY DR,17,2023,Y,JW,80,0,64,0,JURONG WEST,238A BOON LAY DR,1.34169785938634,103.710349292035
238B,BOON LAY DR,17,2023,Y,JW,80,32,48,0,JURONG WEST,238B BOON LAY DR,1.34194041898371,103.710083736752
239A,BOON LAY DR,17,2023,Y,JW,75,0,62,0,JURONG WEST,239A BOON LAY DR,1.34176080636017,103.710767644398
239B,BOON LAY DR,15,2023,Y,JW,0,0,26,70,JURONG WEST,239B BOON LAY DR,1.34215807042064,103.71066953397
265A,KIM KEAT AVE,30,2023,Y,TP,0,44,173,0,TOA PAYOH,265A KIM KEAT AVE,1.33199867342236,103.859807290319
266A,KIM KEAT AVE,30,2023,Y,TP,0,0,163,0,TOA PAYOH,266A KIM KEAT AVE,1.33202236327227,103.859044953635
267A,KIM KEAT AVE,30,2023,Y,TP,0,57,105,0,TOA PAYOH,267A KIM KEAT AVE,1.33173441140501,103.859245060239
339A,ANCHORVALE RD,15,2023,Y,SK,44,59,0,0,SENGKANG,339A ANCHORVALE RD,1.39654467711695,103.888163267028
339B,ANCHORVALE RD,15,2023,Y,SK,60,44,0,0,SENGKANG,339B ANCHORVALE RD,1.3964752962116,103.888631208885
357D,UBI RD 3,10,2023,Y,GL,0,0,72,0,GEYLANG,357D UBI RD 3,1.32924079335247,103.899157009447
358C,UBI RD 3,12,2023,Y,GL,66,44,33,0,GEYLANG,358C UBI RD 3,1.32902828873047,103.900145013168
358D,UBI RD 3,10,2023,Y,GL,54,36,27,0,GEYLANG,358D UBI RD 3,1.32946694134951,103.899933216686
37A,EUNOS RD 2,19,2023,Y,GL,33,15,87,0,GEYLANG,37A EUNOS RD 2,1.32170851591003,103.901648214785
37B,EUNOS RD 2,19,2023,Y,GL,0,0,117,0,GEYLANG,37B EUNOS RD 2,1.32132894338702,103.901058883931
37C,EUNOS RD 2,19,2023,Y,GL,0,0,126,0,GEYLANG,37C EUNOS RD 2,1.32140856763384,103.900506313017
38A,EUNOS RD 2,19,2023,Y,GL,0,36,88,0,GEYLANG,38A EUNOS RD 2,1.32117761917623,103.900158114028
38B,EUNOS RD 2,19,2023,Y,GL,0,36,86,0,GEYLANG,38B EUNOS RD 2,1.32069743297167,103.900262692963
38C,EUNOS RD 2,19,2023,Y,GL,74,10,34,0,GEYLANG,38C EUNOS RD 2,1.32018043082366,103.900366466107
384A,YISHUN AVE 6,15,2023,Y,YS,0,0,84,56,YISHUN,384A YISHUN AVE 6,1.43011352872791,103.8487802927
384B,YISHUN AVE 6,15,2023,Y,YS,182,28,0,0,YISHUN,384B YISHUN AVE 6,1.43000016920378,103.848241877867
400A,FERNVALE LANE,13,2023,Y,SK,66,31,22,0,SENGKANG,400A FERNVALE LANE,1.38975752137765,103.870369949802
400B,FERNVALE LANE,13,2023,Y,SK,62,0,42,0,SENGKANG,400B FERNVALE LANE,1.39002892079376,103.870040031655
400C,FERNVALE LANE,13,2023,Y,SK,0,20,64,0,SENGKANG,400C FERNVALE LANE,1.38997993205204,103.869486250186
400E,FERNVALE LANE,13,2023,Y,SK,18,22,44,0,SENGKANG,400E FERNVALE LANE,1.3906742017718,103.869520442016
401A,FERNVALE LANE,13,2023,Y,SK,42,22,22,0,SENGKANG,401A FERNVALE LANE,1.39076244927694,103.869984956677
401B,FERNVALE LANE,13,2023,Y,SK,68,31,24,0,SENGKANG,401B FERNVALE LANE,1.39056962100536,103.870471445527
401D,FERNVALE LANE,13,2023,Y,SK,60,0,20,0,SENGKANG,401D FERNVALE LANE,1.39056228323846,103.870923773374
401E,FERNVALE LANE,25,2023,Y,SK,92,46,42,46,SENGKANG,401E FERNVALE LANE,1.39056334934199,103.871303013958
401F,FERNVALE LANE,25,2023,Y,SK,46,46,42,44,SENGKANG,401F FERNVALE LANE,1.3897006581849,103.871202528371
401G,FERNVALE LANE,20,2023,Y,SK,72,0,32,0,SENGKANG,401G FERNVALE LANE,1.38976402831052,103.870833415078
431B,NORTHSHORE DR,22,2023,Y,PG,103,20,21,0,PUNGGOL,431B NORTHSHORE DR,1.4176360501872,103.910637158298
432A,NORTHSHORE DR,22,2023,Y,PG,120,20,36,0,PUNGGOL,432A NORTHSHORE DR,1.41722166101051,103.910590998609
432B,NORTHSHORE DR,22,2023,Y,PG,0,0,100,60,PUNGGOL,432B NORTHSHORE DR,1.41667094985656,103.911241269144
433A,NORTHSHORE DR,22,2023,Y,PG,0,0,84,62,PUNGGOL,433A NORTHSHORE DR,1.41667304873336,103.910627028411
433B,NORTHSHORE DR,22,2023,Y,PG,82,28,46,0,PUNGGOL,433B NORTHSHORE DR,1.41680516005673,103.910100613216
464A,FERNVALE RD,24,2023,Y,SK,108,23,46,0,SENGKANG,464A FERNVALE RD,1.39731706496198,103.876117623094
464B,FERNVALE RD,24,2023,Y,SK,110,23,46,0,SENGKANG,464B FERNVALE RD,1.39739865318687,103.876474297939
465A,FERNVALE RD,24,2023,Y,SK,109,23,45,0,SENGKANG,465A FERNVALE RD,1.39823742699044,103.876906950578
465B,FERNVALE RD,24,2023,Y,SK,110,23,45,0,SENGKANG,465B FERNVALE RD,1.39807197335742,103.877446732784
466A,FERNVALE RD,21,2023,Y,SK,0,0,17,94,SENGKANG,466A FERNVALE RD,1.39754657830518,103.877514874921
466B,FERNVALE RD,21,2023,Y,SK,0,0,17,94,SENGKANG,466B FERNVALE RD,1.3976154779259,103.876814777395
630A,TAMPINES NTH DR 2,14,2023,Y,TAP,0,24,108,0,TAMPINES,630A TAMPINES NTH DR 2,1.36410026527904,103.942348904555
630B,TAMPINES NTH DR 2,14,2023,Y,TAP,0,24,72,24,TAMPINES,630B TAMPINES NTH DR 2,1.36352737272341,103.942631640356
631A,TAMPINES NTH DR 2,13,2023,Y,TAP,0,0,68,32,TAMPINES,631A TAMPINES NTH DR 2,1.36290773371695,103.943059030779
631B,TAMPINES NTH DR 2,13,2023,Y,TAP,0,0,66,42,TAMPINES,631B TAMPINES NTH DR 2,1.3627781840817,103.942527453749
632A,TAMPINES NTH DR 2,14,2023,Y,TAP,0,0,59,49,TAMPINES,632A TAMPINES NTH DR 2,1.36301680611574,103.941999027269
632B,TAMPINES NTH DR 2,15,2023,Y,TAP,0,0,41,40,TAMPINES,632B TAMPINES NTH DR 2,1.36355023309854,103.941653015834
633A,TAMPINES NTH DR 2,16,2023,Y,TAP,0,0,63,57,TAMPINES,633A TAMPINES NTH DR 2,1.36396142131344,103.941288457793
637A,TAMPINES ST 62,12,2023,Y,TAP,0,0,19,58,TAMPINES,637A TAMPINES ST 62,1.36379955282339,103.943762050924
637B,TAMPINES ST 62,13,2023,Y,TAP,0,0,72,64,TAMPINES,637B TAMPINES ST 62,1.36424477587124,103.943373099712
638A,TAMPINES ST 62,10,2023,Y,TAP,0,0,59,49,TAMPINES,638A TAMPINES ST 62,1.36403537257222,103.944361591956
638B,TAMPINES ST 62,12,2023,Y,TAP,0,0,62,44,TAMPINES,638B TAMPINES ST 62,1.36455697134677,103.944263472325
639A,TAMPINES ST 62,10,2023,Y,TAP,0,0,75,33,TAMPINES,639A TAMPINES ST 62,1.36484460670626,103.944983042881
639B,TAMPINES ST 62,12,2023,Y,TAP,0,0,63,22,TAMPINES,639B TAMPINES ST 62,1.36502258661448,103.944537459894
640A,TAMPINES ST 62,11,2023,Y,TAP,0,0,54,36,TAMPINES,640A TAMPINES ST 62,1.36575172489261,103.944990479543
640B,TAMPINES ST 62,12,2023,Y,TAP,0,0,40,100,TAMPINES,640B TAMPINES ST 62,1.36555636016994,103.944574941249
641A,TAMPINES ST 62,13,2023,Y,TAP,0,24,113,39,TAMPINES,641A TAMPINES ST 62,1.36624292980126,103.9440811602
641B,TAMPINES ST 62,14,2023,Y,TAP,0,74,101,0,TAMPINES,641B TAMPINES ST 62,1.36707592748737,103.943629836204
641C,TAMPINES ST 62,14,2023,Y,TAP,0,0,58,12,TAMPINES,641C TAMPINES ST 62,1.36698110335132,103.943995801528
653B,PUNGGOL DR,18,2023,Y,PG,102,34,70,0,PUNGGOL,653B PUNGGOL DR,1.39771188370126,103.919658290148
653C,PUNGGOL DR,18,2023,Y,PG,126,0,68,0,PUNGGOL,653C PUNGGOL DR,1.39725100744971,103.920256624345
654A,PUNGGOL DR,18,2023,Y,PG,0,14,98,0,PUNGGOL,654A PUNGGOL DR,1.39689499381856,103.920877810024
654B,PUNGGOL DR,14,2023,Y,PG,0,10,86,0,PUNGGOL,654B PUNGGOL DR,1.39758962285072,103.921006648848
654C,PUNGGOL DR,8,2023,Y,PG,56,21,28,0,PUNGGOL,654C PUNGGOL DR,1.39807316138364,103.920318685516
654D,PUNGGOL DR,14,2023,Y,PG,0,16,96,0,PUNGGOL,654D PUNGGOL DR,1.39852351358343,103.919672886339
662A,TAMPINES ST 64,15,2023,Y,TAP,0,0,70,69,TAMPINES,662A TAMPINES ST 64,1.36924240793262,103.934051027789
662B,TAMPINES ST 64,15,2023,Y,TAP,0,0,64,64,TAMPINES,662B TAMPINES ST 64,1.36929541697129,103.934575622413
662C,TAMPINES ST 64,16,2023,Y,TAP,0,0,30,26,TAMPINES,662C TAMPINES ST 64,1.36970874109309,103.933943576505
663C,TAMPINES ST 64,16,2023,Y,TAP,0,0,68,68,TAMPINES,663C TAMPINES ST 64,1.36970257923268,103.934341454423
801A,WEST COAST CRES,32,2023,Y,CL,20,91,59,28,CLEMENTI,801A WEST COAST CRES,1.3004819228405,103.763997215747
801B,WEST COAST CRES,32,2023,Y,CL,20,90,59,28,CLEMENTI,801B WEST COAST CRES,1.30050793795889,103.763615754331
801C,WEST COAST CRES,32,2023,Y,CL,0,116,124,62,CLEMENTI,801C WEST COAST CRES,1.30113464900427,103.763324886589
820A,KEAT HONG LINK,22,2023,Y,CCK,0,42,122,0,CHOA CHU KANG,820A KEAT HONG LINK,1.37523065052803,103.750249994734
820B,KEAT HONG LINK,22,2023,Y,CCK,82,38,84,0,CHOA CHU KANG,820B KEAT HONG LINK,1.37473334970214,103.750063085928
858C,TAMPINES WALK,14,2023,Y,TAP,78,26,51,26,TAMPINES,858C TAMPINES WALK,1.35449039932646,103.939687442353
858D,TAMPINES WALK,13,2023,Y,TAP,0,0,23,24,TAMPINES,858D TAMPINES WALK,1.35445059774222,103.940313314207
859C,TAMPINES WALK,14,2023,Y,TAP,78,26,52,25,TAMPINES,859C TAMPINES WALK,1.35484695291811,103.939677282424
859D,TAMPINES WALK,12,2023,Y,TAP,0,0,54,66,TAMPINES,859D TAMPINES WALK,1.3548492983317,103.94062577612
860C,TAMPINES WALK,15,2023,Y,TAP,0,14,14,28,TAMPINES,860C TAMPINES WALK,1.35528693862385,103.939391342243
860D,TAMPINES WALK,13,2023,Y,TAP,0,24,24,24,TAMPINES,860D TAMPINES WALK,1.35528204755567,103.940620842731
953A,TAMPINES ST 96,17,2023,Y,TAP,0,0,31,31,TAMPINES,953A TAMPINES ST 96,1.34291437671854,103.935536919071
953B,TAMPINES ST 96,17,2023,Y,TAP,0,0,31,31,TAMPINES,953B TAMPINES ST 96,1.34265303735152,103.93572240568
953C,TAMPINES ST 96,17,2023,Y,TAP,0,0,47,46,TAMPINES,953C TAMPINES ST 96,1.34225908958439,103.935974348047
954C,TAMPINES ST 96,17,2023,Y,TAP,45,30,54,0,TAMPINES,954C TAMPINES ST 96,1.34218392786105,103.93682618882
954D,TAMPINES ST 96,17,2023,Y,TAP,30,16,56,0,TAMPINES,954D TAMPINES ST 96,1.34172359071434,103.936566716765
991A,UPP JURONG RD,18,2023,Y,JW,0,0,68,85,JURONG WEST,991A UPP JURONG RD,1.3353551269066,103.692778150342
991B,UPP JURONG RD,18,2023,Y,JW,85,68,22,0,JURONG WEST,991B UPP JURONG RD,1.33540042960792,103.693575586189
992A,UPP JURONG RD,18,2023,Y,JW,0,0,33,68,JURONG WEST,992A UPP JURONG RD,1.33584207380227,103.693039320755
992B,UPP JURONG RD,18,2023,Y,JW,102,34,34,0,JURONG WEST,992B UPP JURONG RD,1.33579761614964,103.693640902641
