blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
413C,NORTHSHORE DR,25,2021,Y,PG,26,39,44,0,PUNGGOL,413C NORTHSHORE DR,1.41703649391814,103.900922125364
415A,NORTHSHORE DR,26,2021,Y,PG,0,0,75,73,PUNGGOL,415A NORTHSHORE DR,1.4166307861995,103.89948833933
415B,NORTHSHORE DR,19,2021,Y,PG,0,0,58,35,PUNGGOL,415B NORTHSHORE DR,1.417186983477,103.900034140723
415C,NORTHSHORE DR,19,2021,Y,PG,0,0,70,0,PUNGGOL,415C NORTHSHORE DR,1.41744806971584,103.900302527175
415D,NORTHSHORE DR,25,2021,Y,PG,0,0,77,47,PUNGGOL,415D NORTHSHORE DR,1.41763017913453,103.90055293079
419A,NORTHSHORE DR,25,2021,Y,PG,24,38,43,0,PUNGGOL,419A NORTHSHORE DR,1.41771139576935,103.901707718653
419B,NORTHSHORE DR,20,2021,Y,PG,81,19,18,0,PUNGGOL,419B NORTHSHORE DR,1.41803209660986,103.902160274039
419C,NORTHSHORE DR,20,2021,Y,PG,81,19,18,0,PUNGGOL,419C NORTHSHORE DR,1.41830121804059,103.90257297467
419D,NORTHSHORE DR,25,2021,Y,PG,26,39,44,0,PUNGGOL,419D NORTHSHORE DR,1.41857437092251,103.903058002183
42A,MARGARET DR,45,2021,Y,QT,0,120,84,42,QUEENSTOWN,42A MARGARET DR,1.29679541465289,103.807326025942
420A,NORTHSHORE DR,25,2021,Y,PG,0,0,73,47,PUNGGOL,420A NORTHSHORE DR,1.41843911388677,103.901599784186
420B,NORTHSHORE DR,19,2021,Y,PG,0,0,58,35,PUNGGOL,420B NORTHSHORE DR,1.4186531330314,103.901912547383
420C,NORTHSHORE DR,19,2021,Y,PG,0,0,58,35,PUNGGOL,420C NORTHSHORE DR,1.41892697046946,103.902358246497
420D,NORTHSHORE DR,26,2021,Y,PG,0,0,75,72,PUNGGOL,420D NORTHSHORE DR,1.41916860720759,103.902815748067
421B,NORTHSHORE DR,26,2021,Y,PG,144,0,92,0,PUNGGOL,421B NORTHSHORE DR,1.41924637367443,103.904704708435
421C,NORTHSHORE DR,26,2021,Y,PG,163,48,0,0,PUNGGOL,421C NORTHSHORE DR,1.41921326140541,103.905299855658
422B,NORTHSHORE DR,26,2021,Y,PG,0,0,86,95,PUNGGOL,422B NORTHSHORE DR,1.4198034954577,103.905195322462
43A,MARGARET DR,45,2021,Y,QT,84,64,126,0,QUEENSTOWN,43A MARGARET DR,1.29607843502976,103.806864307801
467C,BT BATOK WEST AVE 9,18,2021,Y,BB,187,34,0,0,BUKIT BATOK,467C BT BATOK WEST AVE 9,1.35592238075355,103.742551675133
476A,YISHUN ST 44,13,2021,Y,YS,0,48,84,0,YISHUN,476A YISHUN ST 44,1.4286310083846,103.85249950626
476B,YISHUN ST 44,13,2021,Y,YS,0,0,24,72,YISHUN,476B YISHUN ST 44,1.42768804661447,103.853736171808
476C,YISHUN ST 44,13,2021,Y,YS,0,0,48,36,YISHUN,476C YISHUN ST 44,1.42753529044394,103.85403174935
477A,YISHUN ST 44,13,2021,Y,YS,0,48,96,0,YISHUN,477A YISHUN ST 44,1.42813294510481,103.852082063994
618A,TAMPINES ST 61,16,2021,Y,TAP,0,0,56,56,TAMPINES,618A TAMPINES ST 61,1.36233452000448,103.938797272274
618B,TAMPINES ST 61,15,2021,Y,TAP,0,0,52,52,TAMPINES,618B TAMPINES ST 61,1.36232327931501,103.939141771406
619A,TAMPINES ST 61,16,2021,Y,TAP,0,0,84,42,TAMPINES,619A TAMPINES ST 61,1.36188585365471,103.938687143654
619B,TAMPINES ST 61,12,2021,Y,TAP,0,0,60,30,TAMPINES,619B TAMPINES ST 61,1.36188469560747,103.939404017177
