blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon,name
383C,YISHUN AVE 6,15,2022,Y,YS,140,28,14,0,YISHUN,383C YISHUN AVE 6,1.430357248,103.8480734,YISHUN GLEN
401A,NORTHSHORE DR,21,2022,Y,PG,0,0,112,38,PUNGGOL,401A NORTHSHORE DR,1.414427081,103.9007981,NORTHSHORE EDGE
402A,NORTHSHORE DR,22,2022,Y,PG,0,0,40,79,PUNGGOL,402A NORTHSHORE DR,1.414900496,103.9010234,NORTHSHORE EDGE
402B,NORTHSHORE DR,22,2022,Y,PG,0,0,40,79,PUNGGOL,402B NORTHSHORE DR,1.415115718,103.9004335,NORTHSHORE EDGE
410A,NORTHSHORE DR,26,2022,Y,PG,66,48,71,0,PUNGGOL,410A NORTHSHORE DR,1.417722058,103.9057865,NORTHSHORE TRIO
411A,NORTHSHORE DR,25,2022,Y,PG,66,23,23,0,PUNGGOL,411A NORTHSHORE DR,1.418311106,103.9057562,NORTHSHORE TRIO
411B,NORTHSHORE DR,25,2022,Y,PG,66,23,23,0,PUNGGOL,411B NORTHSHORE DR,1.418207274,103.9061582,NORTHSHORE TRIO
423A,NORTHSHORE CRES,26,2022,Y,PG,167,24,49,0,PUNGGOL,423A NORTHSHORE CRES,1.41904627,103.9057935,NORTHSHORE COVE
423B,NORTHSHORE CRES,26,2022,Y,PG,143,48,0,0,PUNGGOL,423B NORTHSHORE CRES,1.419038346,103.9063243,NORTHSHORE COVE
425A,NORTHSHORE CRES,26,2022,Y,PG,0,21,64,88,PUNGGOL,425A NORTHSHORE CRES,1.419619166,103.9061819,NORTHSHORE COVE
425B,NORTHSHORE CRES,26,2022,Y,PG,0,21,94,82,PUNGGOL,425B NORTHSHORE CRES,1.419510944,103.9066623,NORTHSHORE COVE
431A,BT BATOK WEST AVE 8,17,2022,Y,BB,126,32,46,0,BUKIT BATOK,431A BT BATOK WEST AVE 8,1.361527751,103.7429953,WEST SCAPE @ BUKIT BATOK
431B,BT BATOK WEST AVE 8,16,2022,Y,BB,0,28,105,0,BUKIT BATOK,431B BT BATOK WEST AVE 8,1.36119834,103.7426306,WEST SCAPE @ BUKIT BATOK
432A,BT BATOK WEST AVE 8,17,2022,Y,BB,0,0,32,94,BUKIT BATOK,432A BT BATOK WEST AVE 8,1.360391105,103.7430043,WEST SCAPE @ BUKIT BATOK
432B,BT BATOK WEST AVE 8,16,2022,Y,BB,146,0,30,0,BUKIT BATOK,432B BT BATOK WEST AVE 8,1.360979974,103.7423711,WEST SCAPE @ BUKIT BATOK
433A,BT BATOK WEST AVE 8,16,2022,Y,BB,120,30,43,0,BUKIT BATOK,433A BT BATOK WEST AVE 8,1.361898007,103.7423749,WEST SCAPE @ BUKIT BATOK
433B,BT BATOK WEST AVE 8,15,2022,Y,BB,112,28,42,0,BUKIT BATOK,433B BT BATOK WEST AVE 8,1.361546088,103.7420646,WEST SCAPE @ BUKIT BATOK
433C,BT BATOK WEST AVE 8,15,2022,Y,BB,0,0,42,84,BUKIT BATOK,433C BT BATOK WEST AVE 8,1.361062628,103.7415235,WEST SCAPE @ BUKIT BATOK
459A,SENGKANG WEST WAY,14,2022,Y,SK,130,26,13,0,SENGKANG,459A SENGKANG WEST WAY,1.393287028,103.8700751,FERNVALE GLADES
459B,SENGKANG WEST WAY,14,2022,Y,SK,143,26,0,0,SENGKANG,459B SENGKANG WEST WAY,1.393773813,103.8696049,FERNVALE GLADES
460A,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,460A SENGKANG WEST WAY,1.394750816,103.8695283,FERNVALE GLADES
460B,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,460B SENGKANG WEST WAY,1.394725667,103.8700983,FERNVALE GLADES
460C,SENGKANG WEST WAY,14,2022,Y,SK,0,0,78,39,SENGKANG,460C SENGKANG WEST WAY,1.394090948,103.8700336,FERNVALE GLADES
461A,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,461A SENGKANG WEST WAY,1.394674297,103.8707831,FERNVALE GLADES
461B,SENGKANG WEST WAY,14,2022,Y,SK,0,0,52,52,SENGKANG,461B SENGKANG WEST WAY,1.394603267,103.8713499,FERNVALE GLADES
461C,SENGKANG WEST WAY,14,2022,Y,SK,0,0,91,26,SENGKANG,461C SENGKANG WEST WAY,1.39410543,103.8707284,FERNVALE GLADES
462A,SENGKANG WEST WAY,14,2022,Y,SK,117,26,0,0,SENGKANG,462A SENGKANG WEST WAY,1.393571925,103.8713076,FERNVALE GLADES
462B,SENGKANG WEST WAY,14,2022,Y,SK,143,26,0,0,SENGKANG,462B SENGKANG WEST WAY,1.393167609,103.8711495,FERNVALE GLADES
464A,CLEMENTI AVE 1,40,2022,Y,CL,0,0,272,78,CLEMENTI,464A CLEMENTI AVE 1,1.3110577,103.7684985,CLEMENTI PEAKS
464B,CLEMENTI AVE 1,40,2022,Y,CL,24,152,78,76,CLEMENTI,464B CLEMENTI AVE 1,1.310137435,103.7679728,CLEMENTI PEAKS
465A,CLEMENTI AVE 1,40,2022,Y,CL,0,0,195,117,CLEMENTI,465A CLEMENTI AVE 1,1.309254655,103.7676627,CLEMENTI PEAKS
465A,YISHUN AVE 6,13,2022,Y,YS,96,0,48,0,YISHUN,465A YISHUN AVE 6,1.426454405,103.8507628,CASA SPRING @ YISHUN
465B,YISHUN AVE 6,13,2022,Y,YS,141,0,48,0,YISHUN,465B YISHUN AVE 6,1.426005374,103.8504787,CASA SPRING @ YISHUN
466A,CLEMENTI AVE 1,15,2022,Y,CL,0,70,42,0,CLEMENTI,466A CLEMENTI AVE 1,1.309824483,103.7672243,CLEMENTI PEAKS
466A,YISHUN AVE 6,13,2022,Y,YS,96,0,48,0,YISHUN,466A YISHUN AVE 6,1.425621831,103.8502611,CASA SPRING @ YISHUN
466B,YISHUN AVE 6,13,2022,Y,YS,96,0,48,0,YISHUN,466B YISHUN AVE 6,1.425646499,103.8509793,CASA SPRING @ YISHUN
467A,YISHUN AVE 6,13,2022,Y,YS,0,0,36,84,YISHUN,467A YISHUN AVE 6,1.426027302,103.8511704,CASA SPRING @ YISHUN
467B,YISHUN AVE 6,13,2022,Y,YS,0,0,36,84,YISHUN,467B YISHUN AVE 6,1.426429861,103.8514283,CASA SPRING @ YISHUN
467C,YISHUN AVE 6,13,2022,Y,YS,0,0,48,60,YISHUN,467C YISHUN AVE 6,1.426798448,103.8514746,CASA SPRING @ YISHUN
470A,YISHUN ST 42,13,2022,Y,YS,0,0,55,22,YISHUN,470A YISHUN ST 42,1.425471149,103.8528043,FOREST SPRING @ YISHUN
470B,YISHUN ST 42,13,2022,Y,YS,0,30,20,0,YISHUN,470B YISHUN ST 42,1.425846191,103.852261,FOREST SPRING @ YISHUN
471A,YISHUN ST 42,13,2022,Y,YS,0,0,55,22,YISHUN,471A YISHUN ST 42,1.425924489,103.8529054,FOREST SPRING @ YISHUN
471B,YISHUN ST 42,13,2022,Y,YS,113,11,20,0,YISHUN,471B YISHUN ST 42,1.426234544,103.8524338,FOREST SPRING @ YISHUN
472A,YISHUN ST 42,13,2022,Y,YS,0,0,55,22,YISHUN,472A YISHUN ST 42,1.426228677,103.8533439,FOREST SPRING @ YISHUN
472B,YISHUN ST 42,13,2022,Y,YS,88,22,0,0,YISHUN,472B YISHUN ST 42,1.42654651,103.852897,FOREST SPRING @ YISHUN
473A,YISHUN ST 42,13,2022,Y,YS,0,0,23,34,YISHUN,473A YISHUN ST 42,1.426712591,103.8534695,FOREST SPRING @ YISHUN
473B,YISHUN ST 42,13,2022,Y,YS,119,22,23,0,YISHUN,473B YISHUN ST 42,1.427007819,103.8530736,FOREST SPRING @ YISHUN
475A,YISHUN ST 44,13,2022,Y,YS,0,0,48,36,YISHUN,475A YISHUN ST 44,1.426906979,103.8538176,MELODY SPRING @ YISHUN
475B,YISHUN ST 44,13,2022,Y,YS,0,0,120,0,YISHUN,475B YISHUN ST 44,1.427387671,103.8531583,MELODY SPRING @ YISHUN
477B,YISHUN ST 44,13,2022,Y,YS,126,0,36,0,YISHUN,477B YISHUN ST 44,1.427508605,103.8527103,MELODY SPRING @ YISHUN
477C,YISHUN ST 44,13,2022,Y,YS,156,0,48,0,YISHUN,477C YISHUN ST 44,1.42787476,103.8527523,MELODY SPRING @ YISHUN
629A,TAMPINES NTH DR 2,16,2022,Y,TAP,0,28,127,0,TAMPINES,629A TAMPINES NTH DR 2,1.365094573,103.941708,TAMPINES GREENCOURT
629B,TAMPINES NTH DR 2,16,2022,Y,TAP,0,28,84,28,TAMPINES,629B TAMPINES NTH DR 2,1.364518671,103.9419905,TAMPINES GREENCOURT
633B,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,30,57,TAMPINES,633B TAMPINES NTH DR 2,1.364685297,103.9408111,TAMPINES GREENCOURT
634A,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,65,54,TAMPINES,634A TAMPINES NTH DR 2,1.364928221,103.9404184,TAMPINES GREENCOURT
634B,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,42,40,TAMPINES,634B TAMPINES NTH DR 2,1.36546408,103.9398994,TAMPINES GREENCOURT
634C,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,65,54,TAMPINES,634C TAMPINES NTH DR 2,1.365670047,103.9395601,TAMPINES GREENCOURT
635A,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,59,27,TAMPINES,635A TAMPINES NTH DR 2,1.366201966,103.9391967,TAMPINES GREENCOURT
635B,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,111,28,TAMPINES,635B TAMPINES NTH DR 2,1.366771408,103.9394872,TAMPINES GREENCOURT
635C,TAMPINES NTH DR 2,16,2022,Y,TAP,0,26,28,28,TAMPINES,635C TAMPINES NTH DR 2,1.366715294,103.9401755,TAMPINES GREENCOURT
636A,TAMPINES NTH DR 2,16,2022,Y,TAP,96,28,42,0,TAMPINES,636A TAMPINES NTH DR 2,1.366500285,103.94051,TAMPINES GREENCOURT
636B,TAMPINES NTH DR 2,16,2022,Y,TAP,0,0,56,26,TAMPINES,636B TAMPINES NTH DR 2,1.366064571,103.9407038,TAMPINES GREENCOURT
636C,TAMPINES NTH DR 2,16,2022,Y,TAP,96,28,42,0,TAMPINES,636C TAMPINES NTH DR 2,1.36603155,103.9411424,TAMPINES GREENCOURT
638A,SENJA CL,33,2022,Y,BP,0,0,106,124,BUKIT PANJANG,638A SENJA CL,1.388441738,103.7610453,SENJA RIDGES
640A,SENJA CL,38,2022,Y,BP,202,68,148,0,BUKIT PANJANG,640A SENJA CL,1.38754015,103.7614128,SENJA HEIGHTS
645A,TAMPINES ST 62,14,2022,Y,TAP,0,0,88,46,TAMPINES,645A TAMPINES ST 62,1.364997792,103.9428422,TAMPINES GREENFOLIAGE
645B,TAMPINES ST 62,15,2022,Y,TAP,0,0,98,78,TAMPINES,645B TAMPINES ST 62,1.365713615,103.9422898,TAMPINES GREENFOLIAGE
646A,TAMPINES ST 62,14,2022,Y,TAP,0,0,46,52,TAMPINES,646A TAMPINES ST 62,1.365432788,103.943301,TAMPINES GREENFOLIAGE
646B,TAMPINES ST 62,15,2022,Y,TAP,0,0,78,56,TAMPINES,646B TAMPINES ST 62,1.366475766,103.9424854,TAMPINES GREENFOLIAGE
647A,SENJA CL,36,2022,Y,BP,234,70,0,0,BUKIT PANJANG,647A SENJA CL,1.388770412,103.7638266,SENJA VALLEY
647A,TAMPINES ST 62,15,2022,Y,TAP,0,0,110,84,TAMPINES,647A TAMPINES ST 62,1.367608931,103.9409808,TAMPINES GREENDEW
647B,SENJA CL,36,2022,Y,BP,166,35,68,0,BUKIT PANJANG,647B SENJA CL,1.388407779,103.7635005,SENJA VALLEY
648A,TAMPINES ST 62,15,2022,Y,TAP,0,42,70,70,TAMPINES,648A TAMPINES ST 62,1.368186338,103.9406904,TAMPINES GREENDEW
648B,TAMPINES ST 62,15,2022,Y,TAP,0,42,70,70,TAMPINES,648B TAMPINES ST 62,1.367467671,103.9404083,TAMPINES GREENDEW
648C,TAMPINES ST 62,15,2022,Y,TAP,0,0,84,84,TAMPINES,648C TAMPINES ST 62,1.366864254,103.9412891,TAMPINES GREENDEW
653A,PUNGGOL DR,18,2022,Y,PG,119,0,70,0,PUNGGOL,653A PUNGGOL DR,1.397917275,103.9193078,WATERWAY SUNRISE II
655A,PUNGGOL EAST,14,2022,Y,PG,0,16,96,0,PUNGGOL,655A PUNGGOL EAST,1.399338574,103.9202178,WATERWAY SUNRISE I
655B,PUNGGOL EAST,14,2022,Y,PG,119,0,0,42,PUNGGOL,655B PUNGGOL EAST,1.398790069,103.9210783,WATERWAY SUNRISE I
655C,PUNGGOL EAST,14,2022,Y,PG,0,0,54,33,PUNGGOL,655C PUNGGOL EAST,1.398203736,103.9218023,WATERWAY SUNRISE I
656C,PUNGGOL EAST,18,2022,Y,PG,122,0,34,34,PUNGGOL,656C PUNGGOL EAST,1.399056091,103.9216068,WATERWAY SUNRISE I
657A,PUNGGOL EAST,16,2022,Y,PG,90,30,47,15,PUNGGOL,657A PUNGGOL EAST,1.398678215,103.9220552,WATERWAY SUNRISE I
657B,PUNGGOL EAST,17,2022,Y,PG,119,0,6,28,PUNGGOL,657B PUNGGOL EAST,1.398338647,103.9224693,WATERWAY SUNRISE I
781B,WOODLANDS AVE 9,16,2022,Y,WL,0,0,60,90,WOODLANDS,781B WOODLANDS AVE 9,1.449317665,103.8022053,WOODLANDS GLADE
781C,WOODLANDS AVE 9,16,2022,Y,WL,105,45,59,0,WOODLANDS,781C WOODLANDS AVE 9,1.448918042,103.8024229,WOODLANDS GLADE
781D,WOODLANDS AVE 9,16,2022,Y,WL,120,0,45,0,WOODLANDS,781D WOODLANDS AVE 9,1.448332111,103.8023005,WOODLANDS GLADE
781E,WOODLANDS AVE 9,16,2022,Y,WL,60,45,0,0,WOODLANDS,781E WOODLANDS AVE 9,1.448577795,103.8027849,WOODLANDS GLADE
819A,KEAT HONG LINK,22,2022,Y,CCK,81,38,84,0,CHOA CHU KANG,819A KEAT HONG LINK,1.375519189,103.7494854,KEAT HONG VERGE
90A,JLN SATU,18,2022,Y,GL,34,17,153,0,GEYLANG,90A JLN SATU,1.31044462,103.8878562,DAKOTA BREEZE
90B,JLN SATU,18,2022,Y,GL,34,17,136,0,GEYLANG,90B JLN SATU,1.310588888,103.8885964,DAKOTA BREEZE
91A,JLN SATU,18,2022,Y,GL,34,17,150,0,GEYLANG,91A JLN SATU,1.309931226,103.887961,DAKOTA BREEZE
91B,JLN SATU,18,2022,Y,GL,34,15,133,0,GEYLANG,91B JLN SATU,1.310026875,103.888857,DAKOTA BREEZE
92A,JLN SATU,18,2022,Y,GL,30,51,99,0,GEYLANG,92A JLN SATU,1.309502931,103.888972,DAKOTA BREEZE
