blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon,name
114A,BT BATOK WEST AVE 6,28,2022,Y,BB,27,80,0,0,BUKIT BATOK,114A BT BATOK WEST AVE 6,1.349906686,103.7458125,SKY VISTA @ BUKIT BATOK
114B,BT BATOK WEST AVE 6,28,2022,Y,BB,96,54,0,0,BUKIT BATOK,114B BT BATOK WEST AVE 6,1.349717185,103.7454032,SKY VISTA @ BUKIT BATOK
161A,JLN TECK WHYE,22,2022,Y,CCK,126,42,0,0,CHOA CHU KANG,161A JLN TECK WHYE,1.379732577,103.7591252,TECK WHYE VIEW
201A,WOODLEIGH LINK,13,2022,Y,TP,0,52,35,0,TOA PAYOH,201A WOODLEIGH LINK,1.340278796,103.8712582,WOODLEIGH VILLAGE
201B,WOODLEIGH LINK,13,2022,Y,TP,0,66,75,0,TOA PAYOH,201B WOODLEIGH LINK,1.340497442,103.8722829,WOODLEIGH VILLAGE
201C,WOODLEIGH LINK,13,2022,Y,TP,0,53,49,0,TOA PAYOH,201C WOODLEIGH LINK,1.339920211,103.8720531,WOODLEIGH VILLAGE
206A,WOODLEIGH LINK,14,2022,Y,TP,0,0,104,0,TOA PAYOH,206A WOODLEIGH LINK,1.341136915,103.8725603,WOODLEIGH GLEN
206B,WOODLEIGH LINK,14,2022,Y,TP,0,0,112,0,TOA PAYOH,206B WOODLEIGH LINK,1.341817816,103.8725778,WOODLEIGH GLEN
206C,WOODLEIGH LINK,14,2022,Y,TP,0,28,62,0,TOA PAYOH,206C WOODLEIGH LINK,1.34211986,103.8721752,WOODLEIGH GLEN
206D,WOODLEIGH LINK,14,2022,Y,TP,17,29,40,0,TOA PAYOH,206D WOODLEIGH LINK,1.342531597,103.8720184,WOODLEIGH GLEN
207A,WOODLEIGH LINK,14,2022,Y,TP,19,22,44,0,TOA PAYOH,207A WOODLEIGH LINK,1.341149095,103.8714703,WOODLEIGH GLEN
207B,WOODLEIGH LINK,14,2022,Y,TP,16,13,33,0,TOA PAYOH,207B WOODLEIGH LINK,1.341572056,103.8715087,WOODLEIGH GLEN
207C,WOODLEIGH LINK,14,2022,Y,TP,16,13,33,0,TOA PAYOH,207C WOODLEIGH LINK,1.341998907,103.8715113,WOODLEIGH GLEN
207D,WOODLEIGH LINK,14,2022,Y,TP,62,25,0,0,TOA PAYOH,207D WOODLEIGH LINK,1.34248368,103.8713606,WOODLEIGH GLEN
209A,CLEMENTI AVE 6,40,2022,Y,CL,0,0,76,76,CLEMENTI,209A CLEMENTI AVE 6,1.322209227,103.7636406,CLEMENTI NORTHARC
210A,CLEMENTI AVE 6,33,2022,Y,CL,0,0,131,124,CLEMENTI,210A CLEMENTI AVE 6,1.321750186,103.7629882,CLEMENTI NORTHARC
213A,BIDADARI PK DR,16,2022,Y,TP,54,0,50,0,TOA PAYOH,213A BIDADARI PK DR,1.342966656,103.8737698,WOODLEIGH HILLSIDE
213B,BIDADARI PK DR,16,2022,Y,TP,52,28,50,0,TOA PAYOH,213B BIDADARI PK DR,1.342543993,103.8739847,WOODLEIGH HILLSIDE
213C,BIDADARI PK DR,16,2022,Y,TP,52,28,50,0,TOA PAYOH,213C BIDADARI PK DR,1.342869846,103.8743705,WOODLEIGH HILLSIDE
214A,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,214A BIDADARI PK DR,1.343111194,103.8749172,WOODLEIGH HILLSIDE
214B,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,214B BIDADARI PK DR,1.34329899,103.875639,WOODLEIGH HILLSIDE
214C,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,214C BIDADARI PK DR,1.343643075,103.8759777,WOODLEIGH HILLSIDE
215A,BIDADARI PK DR,16,2022,Y,TP,0,0,40,38,TOA PAYOH,215A BIDADARI PK DR,1.343517134,103.8766022,WOODLEIGH HILLSIDE
356A,UBI RD 3,12,2022,Y,GL,0,0,99,0,GEYLANG,356A UBI RD 3,1.326836391,103.8996318,UBI GROVE
356B,UBI RD 3,12,2022,Y,GL,0,0,65,0,GEYLANG,356B UBI RD 3,1.327354689,103.8996495,UBI GROVE
356C,UBI RD 3,14,2022,Y,GL,0,0,104,0,GEYLANG,356C UBI RD 3,1.327427667,103.8999503,UBI GROVE
356D,UBI RD 3,15,2022,Y,GL,0,0,112,0,GEYLANG,356D UBI RD 3,1.327042961,103.9003035,UBI GROVE
357A,UBI RD 3,12,2022,Y,GL,0,0,87,0,GEYLANG,357A UBI RD 3,1.327853401,103.8994911,UBI GROVE
357B,UBI RD 3,12,2022,Y,GL,0,0,88,0,GEYLANG,357B UBI RD 3,1.328340684,103.8993946,UBI GROVE
357C,UBI RD 3,12,2022,Y,GL,0,0,86,0,GEYLANG,357C UBI RD 3,1.328799166,103.8993084,UBI GROVE
358A,UBI RD 3,12,2022,Y,GL,0,0,110,0,GEYLANG,358A UBI RD 3,1.327887793,103.9001357,UBI GROVE
358B,UBI RD 3,12,2022,Y,GL,0,0,110,0,GEYLANG,358B UBI RD 3,1.328425847,103.9002145,UBI GROVE
381A,YISHUN RING RD,15,2022,Y,YS,182,28,0,0,YISHUN,381A YISHUN RING RD,1.429895652,103.8469257,YISHUN GLEN
381B,YISHUN RING RD,15,2022,Y,YS,0,0,56,28,YISHUN,381B YISHUN RING RD,1.429824652,103.8466433,YISHUN GLEN
381C,YISHUN RING RD,15,2022,Y,YS,0,0,56,28,YISHUN,381C YISHUN RING RD,1.430123664,103.8462946,YISHUN GLEN
381D,YISHUN RING RD,15,2022,Y,YS,112,42,0,0,YISHUN,381D YISHUN RING RD,1.43033025,103.8466837,YISHUN GLEN
382A,YISHUN ST 31,15,2022,Y,YS,111,42,0,0,YISHUN,382A YISHUN ST 31,1.431473346,103.8466426,YISHUN GLEN
382B,YISHUN ST 31,15,2022,Y,YS,0,0,56,42,YISHUN,382B YISHUN ST 31,1.431901191,103.8471256,YISHUN GLEN
382C,YISHUN ST 31,15,2022,Y,YS,0,0,84,56,YISHUN,382C YISHUN ST 31,1.431358652,103.8474008,YISHUN GLEN
383A,YISHUN AVE 6,15,2022,Y,YS,0,0,84,56,YISHUN,383A YISHUN AVE 6,1.43088158,103.8479713,YISHUN GLEN
383B,YISHUN AVE 6,15,2022,Y,YS,0,0,56,42,YISHUN,383B YISHUN AVE 6,1.430634851,103.8484771,YISHUN GLEN
