blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,2room_sold,3room_sold,4room_sold,5room_sold,area,address,lat,lon
655C,PUNGGOL EAST,14,2022,Y,PG,0,0,54,33,PUNGGOL,655C PUNGGOL EAST,1.3982037356517,103.92180228981
656C,PUNGGOL EAST,18,2022,Y,PG,122,0,34,34,PUNGGOL,656C PUNGGOL EAST,1.39905609113197,103.921606843271
657A,PUNGGOL EAST,16,2022,Y,PG,90,30,47,15,PUNGGOL,657A PUNGGOL EAST,1.39867821495203,103.922055209307
657B,PUNGGOL EAST,17,2022,Y,PG,119,0,6,28,PUNGGOL,657B PUNGGOL EAST,1.39833864748809,103.922469336551
781B,WOODLANDS AVE 9,16,2022,Y,WL,0,0,60,90,WOODLANDS,781B WOODLANDS AVE 9,1.44931766463684,103.802205259574
781C,WOODLANDS AVE 9,16,2022,Y,WL,105,45,59,0,WOODLANDS,781C WOODLANDS AVE 9,1.44891804239072,103.802422912216
781D,WOODLANDS AVE 9,16,2022,Y,WL,120,0,45,0,WOODLANDS,781D WOODLANDS AVE 9,1.44833211058255,103.802300489566
781E,WOODLANDS AVE 9,16,2022,Y,WL,60,45,0,0,WOODLANDS,781E WOODLANDS AVE 9,1.44857779468583,103.802784878487
819A,KEAT HONG LINK,22,2022,Y,CCK,81,38,84,0,CHOA CHU KANG,819A KEAT HONG LINK,1.37551918944304,103.749485384337
90A,JLN SATU,18,2022,Y,GL,34,17,153,0,GEYLANG,90A JLN SATU,1.31044461981807,103.88785617098
90B,JLN SATU,18,2022,Y,GL,34,17,136,0,GEYLANG,90B JLN SATU,1.31058888807334,103.88859644672
91A,JLN SATU,18,2022,Y,GL,34,17,150,0,GEYLANG,91A JLN SATU,1.30993122636998,103.887961007689
91B,JLN SATU,18,2022,Y,GL,34,15,133,0,GEYLANG,91B JLN SATU,1.31002687481222,103.888857000288
92A,JLN SATU,18,2022,Y,GL,30,51,99,0,GEYLANG,92A JLN SATU,1.30950293116558,103.888971985194
