blk_no,street,max_floor_lvl,year_completed,residential,bldg_contract_town,3room_sold,4room_sold,area,address,lat,lon,name
107A,BIDADARI PK DR,16,2021,Y,TP,78,52,TOA PAYOH,107A BIDADARI PK DR,1.33477976786287,103.872399131107,ALKAFF OASIS
107B,BIDADARI PK DR,16,2021,Y,TP,0,30,TOA PAYOH,107B BIDADARI PK DR,1.33437155153983,103.872117221909,ALKAFF OASIS
108A,BIDADARI PK DR,16,2021,Y,TP,96,60,TOA PAYOH,108A BIDADARI PK DR,1.33435487321818,103.871686802252,ALKAFF OASIS
108B,BIDADARI PK DR,17,2021,Y,TP,0,32,TOA PAYOH,108B BIDADARI PK DR,1.33367208421363,103.872010744965,ALKAFF OASIS
109A,BIDADARI PK DR,17,2021,Y,TP,0,32,TOA PAYOH,109A BIDADARI PK DR,1.33345534714887,103.872323897429,ALKAFF OASIS
109A,CANBERRA WALK,13,2021,Y,SB,24,48,SEMBAWANG,109A CANBERRA WALK,1.4480211764862,103.830136528853,SEMBAWANG N1 C13
109B,BIDADARI PK DR,17,2021,Y,TP,0,32,TOA PAYOH,109B BIDADARI PK DR,1.33340680739937,103.872670321849,ALKAFF OASIS
109B,CANBERRA WALK,13,2021,Y,SB,23,24,SEMBAWANG,109B CANBERRA WALK,1.4478383335801,103.829664870604,SEMBAWANG N1 C13
109C,CANBERRA WALK,13,2021,Y,SB,24,23,SEMBAWANG,109C CANBERRA WALK,1.44833180099522,103.829335079723,SEMBAWANG N1 C13
109D,CANBERRA WALK,13,2021,Y,SB,12,36,SEMBAWANG,109D CANBERRA WALK,1.44904350326715,103.829565161555,SEMBAWANG N1 C13
110A,BIDADARI PK DR,16,2021,Y,TP,0,97,TOA PAYOH,110A BIDADARI PK DR,1.33348416178983,103.873147176611,ALKAFF OASIS
110B,BIDADARI PK DR,16,2021,Y,TP,0,92,TOA PAYOH,110B BIDADARI PK DR,1.33406825429408,103.873265936576,ALKAFF OASIS
111A,ALKAFF CRES,16,2021,Y,TP,0,53,TOA PAYOH,111A ALKAFF CRES,1.33469497701906,103.873122770802,ALKAFF OASIS
111B,ALKAFF CRES,16,2021,Y,TP,0,37,TOA PAYOH,111B ALKAFF CRES,1.3350053450689,103.873330554771,ALKAFF OASIS
112A,ALKAFF CRES,16,2021,Y,TP,0,37,TOA PAYOH,112A ALKAFF CRES,1.33543941437138,103.873403171831,ALKAFF OASIS
112B,ALKAFF CRES,16,2021,Y,TP,15,75,TOA PAYOH,112B ALKAFF CRES,1.33586231353671,103.873504003726,ALKAFF OASIS
113A,ALKAFF CRES,16,2021,Y,TP,13,72,TOA PAYOH,113A ALKAFF CRES,1.33595942768701,103.873151042839,ALKAFF OASIS
113B,ALKAFF CRES,16,2021,Y,TP,43,25,TOA PAYOH,113B ALKAFF CRES,1.33599511612491,103.872560975326,ALKAFF OASIS
114A,ALKAFF CRES,16,2021,Y,TP,49,37,TOA PAYOH,114A ALKAFF CRES,1.33562146047276,103.872708673996,ALKAFF OASIS
114B,ALKAFF CRES,16,2021,Y,TP,46,37,TOA PAYOH,114B ALKAFF CRES,1.33520716488237,103.872596050083,ALKAFF OASIS
115A,JLN AYER,28,2021,Y,KWN,56,58,KALLANG/WHAMPOA,115A JLN AYER,1.31147846434971,103.872687694828,KALLANG RESIDENCES
